date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
1-Jan,29,24,26,1.5,76,20,24,39,0,809,1715,"SN,BR",0.04,0.7,1,29.14,30.11,15.5,31,250,24,260
2-Jan,35,28,32,7.7,71,22,28,33,0,809,1716,,0,0,1,29.02,29.97,14.6,30,230,23,230
3-Jan,33,25,29,4.8,66,20,27,36,0,809,1717,SN,T,T,1,29.03,30.04,10,30,290,23,290
4-Jan,27,7,17,-7.1,78,13,18,48,0,809,1718,"SN,BR",T,0.2,1,29.4,30.45,7.7,21,40,17,30
5-Jan,29,8,18,-5.9,69,10,17,47,0,809,1719,,0,0,1,29.58,30.56,7.6,21,210,16,200
6-Jan,36,20,28,4.2,63,16,23,37,0,809,1720,,0,0,1,29.38,,7.6,20,200,15,210
7-Jan,42,28,35,11.3,59,21,29,30,0,809,1721,,0,0,1,29.22,30.17,4.8,13,140,12,150
8-Jan,39,30,34,10.4,80,30,34,31,0,809,1722,"RA,BR",0.15,0,T,28.97,29.9,6.7,15,160,12,160
9-Jan,42,38,40,16.5,96,40,41,25,0,809,1723,"RA,FG,BR",0.53,0,T,28.84,29.77,7.3,17,220,13,220
10-Jan,38,16,27,3.5,78,18,23,38,0,808,1724,"RA,SN,BR,UP,BLSN",0.18,1,T,28.71,29.71,17.8,42,300,31,320
11-Jan,16,10,13,-10.4,75,6,11,52,0,808,1725,"SN,BR,BLSN",0.08,1.7,2,29,29.98,12.2,28,270,24,270
12-Jan,23,13,18,-5.3,75,11,16,47,0,808,1726,"SN,FZFG,BR,UP,HZ,BLSN,FG",0.08,1.6,4,28.79,29.76,18.2,36,270,28,270
13-Jan,18,12,15,-8.3,76,8,12,50,0,807,1727,"SN,BR,HZ",0.03,0.5,4,29.05,30,13.2,25,230,22,230
14-Jan,34,18,26,2.8,81,21,24,39,0,807,1729,"SN,BR,HZ",T,T,5,28.8,29.76,5.6,22,230,17,230
15-Jan,42,22,32,8.8,85,33,35,33,0,806,1730,"RA,FZFG,BR,FG",0.05,0,3,28.55,29.47,10.2,25,270,21,270
16-Jan,33,26,30,6.8,71,20,26,35,0,806,1731,SN,T,T,T,28.74,29.74,13.8,29,290,21,300
17-Jan,26,9,18,-5.1,70,5,11,47,0,805,1732,SN,T,T,T,28.94,29.94,15.5,31,280,24,270
